sl.no,dieases,duration,execise,diet plan
1,No dieases,,,"Low-carb, high-fiber diet, whole grains, lean proteins, non-starchy vegetables, avoid sugars"
2,Diabetes (Type 2),,"Aerobic exercises (walking, cycling), strength training, yoga, and flexibility exercises","DASH diet: low-sodium, rich in fruits, vegetables, whole grains, lean protein, low-fat dairy"
3,"Hypertension (High Blood Pressure)	",,"Brisk walking, swimming, cycling, low-impact aerobics, yoga, and tai chi","Anti-inflammatory diet: fruits, vegetables, omega-3 fatty acids (fish), avoid processed foods"
4,Asthma,,"Swimming, walking, yoga (focus on breathing techniques), light aerobic exercises","Anti-inflammatory diet: fruits, vegetables, omega-3 fatty acids (fish), avoid processed foods"
5,Arthritis (Osteoarthritis/Rheumatoid),,"Low-impact exercises (walking, swimming), stretching, yoga, tai chi, and resistance band exercises","High-protein, nutrient-dense foods, healthy fats, limit salt, small frequent meals"
6,Chronic Obstructive Pulmonary Disease (COPD),,"Walking, stationary cycling, breathing exercises (pursed-lip, diaphragmatic breathing)","Calorie-controlled, high-fiber, low-carb, lean protein, avoid sugary and processed foods"
7,Obesity,,"Aerobic exercises (walking, jogging, swimming), strength training, HIIT (under guidance), and yoga","Calcium and Vitamin D-rich foods (dairy, leafy greens), lean proteins, avoid caffeine/alcohol"
8,Osteoporosis,,"Weight-bearing exercises (walking, dancing), strength training, balance exercises (tai chi, yoga)","Calcium and Vitamin D-rich foods (dairy, leafy greens), lean proteins, avoid caffeine/alcohol"
9,Coronary Artery Disease,,"Moderate aerobic exercises (walking, cycling), swimming, strength training, and flexibility exercises","Heart-healthy diet: Mediterranean diet, whole grains, lean proteins, nuts, olive oil"
10,Parkinson’s Disease,,"Balance exercises, tai chi, yoga, walking, strength training, and aerobic exercises","High-fiber foods, omega-3-rich foods, adequate hydration, limit saturated fats"
11,Alzheimer’s Disease,,"Walking, dancing, balance exercises, tai chi, and simple aerobic exercises","High-fiber foods, omega-3-rich foods, adequate hydration, limit saturated fats"
12,Depression & Anxiety,,"Aerobic exercises (running, walking), yoga, tai chi, strength training, and mindfulness-based exercises","Mediterranean/DASH diet: leafy greens, berries, fish, nuts, olive oil"
13,Cancer Recovery,,"Light aerobic exercises (walking, cycling), yoga, stretching, and strength training (as tolerated)","Whole foods, omega-3-rich foods, complex carbs, avoid processed foods and excess caffeine"
14,Multiple Sclerosis (MS),,"Water-based exercises, yoga, tai chi, stretching, balance training, and moderate aerobic exercises","High-protein, antioxidant-rich foods (berries, leafy greens), whole grains, small frequent meals"
15,Chronic Kidney Disease,,"Walking, cycling, low-intensity strength training, stretching, and flexibility exercises","Anti-inflammatory diet: omega-3-rich foods, fruits, vegetables, whole grains"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
